match_date,group,team_1,team_2,team_1_score,team_2_score,source_note
2026-06-12,A,墨西哥,南非,2,0,百度体育赛程/用户截图核对
2026-06-12,A,韩国,捷克,2,1,百度体育赛程/用户截图核对
2026-06-13,B,加拿大,波黑,1,1,百度体育赛程/用户截图核对
2026-06-13,D,美国,巴拉圭,4,1,百度体育赛程/用户截图核对
2026-06-14,B,卡塔尔,瑞士,1,1,百度体育赛程/用户截图核对
2026-06-14,C,巴西,摩洛哥,1,1,百度体育赛程/用户截图核对
2026-06-14,C,海地,苏格兰,0,1,百度体育赛程/用户截图核对
2026-06-14,D,澳大利亚,土耳其,2,0,百度体育赛程/用户截图核对
2026-06-15,E,德国,库拉索,7,1,百度体育赛程/用户截图核对
2026-06-15,F,荷兰,日本,2,2,百度体育赛程/用户截图核对
2026-06-15,E,科特迪瓦,厄瓜多尔,1,0,百度体育赛程/用户截图核对
2026-06-15,F,瑞典,突尼斯,5,1,百度体育赛程/用户截图核对
2026-06-16,H,西班牙,佛得角,0,0,百度体育赛程/用户截图核对
2026-06-16,G,比利时,埃及,1,1,百度体育赛程/用户截图核对
2026-06-16,H,沙特阿拉伯,乌拉圭,1,1,百度体育赛程/用户截图核对
2026-06-16,G,伊朗,新西兰,2,2,百度体育赛程/用户截图核对
2026-06-17,I,法国,塞内加尔,3,1,百度体育赛程/用户截图核对
2026-06-17,I,伊拉克,挪威,1,4,百度体育赛程/用户截图核对
2026-06-17,J,阿根廷,阿尔及利亚,3,0,百度体育赛程/用户截图核对
2026-06-17,J,奥地利,约旦,3,1,百度体育赛程/用户截图核对
2026-06-18,K,葡萄牙,民主刚果,1,1,百度体育页面抓取2026-06-19待用户确认
2026-06-18,L,英格兰,克罗地亚,4,2,百度体育页面抓取2026-06-19待用户确认
2026-06-18,L,加纳,巴拿马,1,0,百度体育页面抓取2026-06-19待用户确认
2026-06-18,K,乌兹别克斯坦,哥伦比亚,1,3,百度体育页面抓取2026-06-19待用户确认
2026-06-19,A,捷克,南非,1,1,百度体育页面抓取2026-06-19待用户确认
2026-06-19,B,瑞士,波黑,4,1,百度体育页面抓取2026-06-19待用户确认
2026-06-19,B,加拿大,卡塔尔,6,0,百度体育页面抓取2026-06-19待用户确认
2026-06-19,A,墨西哥,韩国,1,0,百度体育页面抓取2026-06-19待用户确认
2026-06-20,D,美国,澳大利亚,2,0,百度体育页面抓取2026-06-20已结束并经用户确认32场口径
2026-06-20,C,苏格兰,摩洛哥,0,1,百度体育页面抓取2026-06-20已结束并经用户确认32场口径
2026-06-20,C,巴西,海地,3,0,百度体育页面抓取2026-06-20已结束并经用户确认32场口径
2026-06-20,D,土耳其,巴拉圭,0,1,百度体育页面抓取2026-06-20已结束并经用户确认32场口径
