"rank","team","probability","ci_lower","ci_upper"
1,"阿根廷",0.5205,0.51070824036447,0.53029175963553
2,"西班牙",0.4892,0.479402286410718,0.498997713589282
3,"法国",0.2922,0.283286434579496,0.301113565420504
4,"摩洛哥",0.2475,0.23904143044008,0.25595856955992
5,"墨西哥",0.2369,0.22856646375766,0.24523353624234
6,"英格兰",0.2307,0.222442896376961,0.238957103623039
7,"巴西",0.1984,0.190583618295503,0.206216381704497
8,"德国",0.1972,0.189401461714808,0.204998538285192
9,"加拿大",0.1591,0.151930921474108,0.166269078525892
10,"哥伦比亚",0.1519,0.144865090904468,0.158934909095532
