"group","team","first","second","third","fourth","best_third","qualified"
"A","墨西哥",0.965,0.035,0,0,0,1
"A","南非",0,0.1798,0.2909,0.5293,0.0192,0.199
"A","韩国",0.035,0.7443,0.1982,0.0225,0.1491,0.9284
"A","捷克",0,0.0409,0.5109,0.4482,0.0762,0.1171
"B","加拿大",0.7311,0.2688,1e-04,0,1e-04,1
"B","波黑",0,0.0061,0.6104,0.3835,0.3203,0.3264
"B","卡塔尔",0,1e-04,0.3834,0.6165,0.3803,0.3804
"B","瑞士",0.2689,0.725,0.0061,0,0.0061,1
"C","巴西",0.5989,0.2693,0.1318,0,0.1318,1
"C","摩洛哥",0.3728,0.6115,0.0157,0,0.0157,1
"C","海地",0,0,0.014,0.986,0.0083,0.0083
"C","苏格兰",0.0283,0.1192,0.8385,0.014,0.6125,0.76
"D","美国",0.9875,0.0125,0,0,0,1
"D","巴拉圭",3e-04,0.24,0.6157,0.144,0.4087,0.649
"D","澳大利亚",0.0122,0.7475,0.2131,0.0272,0.1607,0.9204
"D","土耳其",0,0,0.1712,0.8288,0.126,0.126
"E","德国",0.6551,0.2276,0.1161,0.0012,0.1154,0.9981
"E","库拉索",0.0014,0.012,0.0777,0.9089,0.0344,0.0478
"E","科特迪瓦",0.3093,0.5051,0.1801,0.0055,0.164,0.9784
"E","厄瓜多尔",0.0342,0.2553,0.6261,0.0844,0.5125,0.802
"F","荷兰",0.3924,0.4127,0.1532,0.0417,0.1333,0.9384
"F","日本",0.452,0.3837,0.1321,0.0322,0.1145,0.9502
"F","瑞典",0.1434,0.1966,0.6277,0.0323,0.5766,0.9166
"F","突尼斯",0.0122,0.007,0.087,0.8938,0.0561,0.0753
"G","比利时",0.4285,0.2954,0.184,0.0921,0.1474,0.8713
"G","埃及",0.2422,0.3094,0.2522,0.1962,0.1957,0.7473
"G","伊朗",0.2653,0.2628,0.3203,0.1516,0.1686,0.6967
"G","新西兰",0.064,0.1324,0.2435,0.5601,0.1272,0.3236
"H","西班牙",0.7462,0.1798,0.0603,0.0137,0.0481,0.9741
"H","佛得角",0.0473,0.2561,0.3002,0.3964,0.1859,0.4893
"H","沙特阿拉伯",0.0425,0.1725,0.3386,0.4464,0.223,0.438
"H","乌拉圭",0.164,0.3916,0.3009,0.1435,0.1712,0.7268
"I","法国",0.6396,0.327,0.0304,0.003,0.0289,0.9955
"I","塞内加尔",0.0175,0.1696,0.6177,0.1952,0.4066,0.5937
"I","伊拉克",0.0015,0.0154,0.185,0.7981,0.0877,0.1046
"I","挪威",0.3414,0.488,0.1669,0.0037,0.1565,0.9859
"J","阿根廷",0.9006,0.0897,0.0089,8e-04,0.0089,0.9992
"J","阿尔及利亚",0.0116,0.3245,0.4614,0.2025,0.2916,0.6277
"J","奥地利",0.0864,0.5595,0.3393,0.0148,0.2698,0.9157
"J","约旦",0.0014,0.0263,0.1904,0.7819,0.0871,0.1148
"K","葡萄牙",0.2149,0.4016,0.2645,0.119,0.1552,0.7717
"K","民主刚果",0.0717,0.2269,0.3641,0.3373,0.2137,0.5123
"K","乌兹别克斯坦",0.0199,0.1567,0.2911,0.5323,0.1935,0.3701
"K","哥伦比亚",0.6935,0.2148,0.0803,0.0114,0.0761,0.9844
"L","英格兰",0.9345,0.053,0.0113,0.0012,0.0109,0.9984
"L","克罗地亚",0.0188,0.5071,0.2623,0.2118,0.167,0.6929
"L","加纳",0.0361,0.3212,0.4969,0.1458,0.306,0.6633
"L","巴拿马",0.0106,0.1187,0.2295,0.6412,0.1516,0.2809
