"feature","n","mean","sd","min","q1","median","q3","max"
"elo_diff",14504,0.0352327260431444,0.428135241306783,-2.45566203884268,-0.200133798197824,0.0320685638991017,0.272338704710268,2.29996007901118
"recent_win_rate_diff",14504,0.0151842184750347,0.27170483474318,-1,-0.2,0,0.2,1
"home_attack_vs_away_defense",14504,-0.00431900559451564,1.14714925809505,-19.7857142857143,-0.5,0,0.6,16.5
"away_attack_vs_home_defense",14504,-0.00132431994676846,1.08246851408283,-14.5,-0.5,0,0.6,19.2
"recent_goal_diff_diff",14504,0.0905020727724811,1.60996526404265,-17.1,-0.8,0.1,1,22.8888888888889
"home_field",14504,0.697600661886377,0.459313100142877,0,0,1,1,1
"host_country_diff",14504,0.00875620518477662,0.19613024538111,-1,0,0,0,1
"tournament_importance",14504,-0.0399269167126309,0.227326029148339,-0.35,-0.35,0.1,0.1,0.45
"home_score",14504,1.6050055157198,1.6474417870775,0,0,1,2,22
"away_score",14504,1.11279646993933,1.35300363479563,0,0,1,2,20
