"team","group_exit","round_of_32","round_of_16","quarter_final","semi_final","final","champion"
"墨西哥",1,1,0.764,0.4418,0.2394,0.1214,0.0579
"南非",1,0.2074,0.0498,0.0082,0.0016,4e-04,1e-04
"韩国",1,0.9201,0.3883,0.1401,0.0438,0.0114,0.003
"捷克",1,0.1264,0.0315,0.0075,0.0014,3e-04,0
"加拿大",1,1,0.6946,0.3975,0.1541,0.0661,0.0283
"波黑",1,0.3415,0.0352,0.0041,3e-04,1e-04,0
"卡塔尔",1,0.3662,0.0415,0.004,5e-04,0,0
"瑞士",1,1,0.5766,0.244,0.0838,0.0288,0.0092
"巴西",1,0.9314,0.5393,0.325,0.1613,0.0734,0.031
"摩洛哥",1,0.9999,0.6573,0.4418,0.2518,0.1334,0.0659
"海地",1,0.0888,0.0162,0.0044,5e-04,0,0
"苏格兰",1,0.7333,0.1609,0.0455,0.0104,0.0021,4e-04
"美国",1,1,0.6407,0.323,0.1003,0.0367,0.0096
"巴拉圭",1,0.2861,0.0721,0.0129,0.0023,4e-04,1e-04
"澳大利亚",1,0.9195,0.428,0.1051,0.0439,0.0123,0.0031
"土耳其",1,0.4716,0.1502,0.0388,0.0121,0.0031,5e-04
"德国",1,0.9981,0.721,0.3733,0.1951,0.0913,0.0404
"库拉索",1,0.0471,0.0055,4e-04,1e-04,0,0
"科特迪瓦",1,0.9759,0.4753,0.1596,0.0585,0.0174,0.0036
"厄瓜多尔",1,0.8064,0.348,0.1404,0.0484,0.0157,0.0052
"荷兰",1,0.9379,0.4138,0.2349,0.1017,0.0423,0.0157
"日本",1,0.952,0.4568,0.2682,0.1257,0.0559,0.0231
"瑞典",1,0.9156,0.1432,0.0303,0.0043,9e-04,0
"突尼斯",1,0.0759,0.0108,0.0025,3e-04,0,0
"比利时",1,0.8638,0.5457,0.2599,0.1032,0.0414,0.0173
"埃及",1,0.7568,0.3354,0.1043,0.0293,0.0093,0.0022
"伊朗",1,0.7109,0.4116,0.1827,0.0711,0.0289,0.0083
"新西兰",1,0.327,0.0737,0.0107,0.001,1e-04,0
"西班牙",1,0.9729,0.7313,0.5958,0.4935,0.3477,0.2372
"佛得角",1,0.4888,0.0557,0.0128,0.001,0,0
"沙特阿拉伯",1,0.4408,0.0683,0.0167,0.0025,3e-04,0
"乌拉圭",1,0.7325,0.2375,0.1186,0.048,0.0162,0.0046
"法国",1,0.9955,0.758,0.4726,0.2974,0.1648,0.0838
"塞内加尔",1,0.592,0.2429,0.0974,0.0299,0.0087,0.0028
"伊拉克",1,0.1059,0.0227,0.006,8e-04,1e-04,0
"挪威",1,0.9867,0.5638,0.2574,0.122,0.0484,0.0189
"阿根廷",1,0.9991,0.8017,0.6668,0.5174,0.3371,0.2077
"阿尔及利亚",1,0.6342,0.2344,0.1215,0.0506,0.0174,0.0058
"奥地利",1,0.9068,0.2949,0.1399,0.0539,0.0179,0.0054
"约旦",1,0.1121,0.0237,0.0056,8e-04,1e-04,1e-04
"葡萄牙",1,0.7754,0.5195,0.2232,0.1088,0.0452,0.0188
"民主刚果",1,0.5129,0.1918,0.0422,0.0103,0.0016,3e-04
"乌兹别克斯坦",1,0.3725,0.1366,0.0341,0.0122,0.0029,5e-04
"哥伦比亚",1,0.9804,0.7215,0.3686,0.1464,0.0662,0.0269
"英格兰",1,0.9979,0.7602,0.406,0.2256,0.1236,0.0605
"克罗地亚",1,0.691,0.2684,0.0748,0.0273,0.0078,0.0017
"加纳",1,0.6722,0.1082,0.0153,0.0021,0,0
"巴拿马",1,0.2708,0.0719,0.0138,0.0033,9e-04,1e-04
